fips,median_age,white_pct,black_pct,hispanic_pct
25009,41.1,70.3,4.1,1.0
25011,47.3,89.4,1.4,1.3
25013,39.8,67.4,8.7,1.3
25015,38.7,83.3,2.3,0.8
25017,38.9,69.0,5.0,0.8
25019,40.8,70.8,9.3,0.0
25021,40.9,71.4,7.2,0.6
25023,42.9,78.0,8.8,0.9
25025,33.8,48.1,19.1,1.3
25027,40.3,75.5,5.1,1.1
26001,59.7,94.3,0.3,2.1
26003,48.8,82.1,7.9,6.6
26005,40.8,89.3,1.2,1.5
26007,47.6,93.3,0.9,1.4
26009,51.8,93.9,0.4,2.4
26011,50.1,93.9,0.6,2.4
26013,46.2,72.6,6.8,18.4
26015,42.0,93.6,0.5,1.4
26017,43.8,91.9,1.4,1.7
26019,50.6,92.1,0.5,2.8
26021,42.6,75.0,13.5,1.8
26023,40.8,89.3,1.9,1.6
26025,40.2,77.4,10.1,2.1
26027,45.5,86.1,4.3,2.2
26029,50.0,93.7,0.5,2.6
26031,51.9,90.3,0.9,5.1
26033,41.3,68.0,5.8,20.2
26035,48.3,94.4,0.6,2.5
26037,41.8,89.6,1.7,1.3
26039,51.5,93.2,0.3,1.4
26041,47.8,90.7,0.3,4.3
26043,47.4,93.3,0.8,1.8
26045,41.2,82.5,7.0,1.5
26047,46.4,90.4,0.7,5.1
26049,40.6,72.6,19.4,1.7
26051,50.8,94.4,0.3,1.3
26053,51.3,92.0,0.9,4.0
26055,43.1,92.5,0.9,2.2
26057,39.7,87.4,5.5,1.2
26059,42.8,94.4,0.7,1.3
26061,32.3,91.8,1.1,1.4
26063,49.4,94.3,0.4,0.9
26065,33.3,70.4,11.8,1.7
26067,38.8,87.6,3.8,3.0
26069,53.5,92.4,0.9,2.0
26071,53.2,93.3,0.8,2.1
26073,29.8,85.3,2.8,5.2
26075,41.2,83.9,7.7,1.2
26077,34.9,76.8,11.0,1.6
26079,44.0,93.8,0.9,2.0
26081,35.7,73.9,9.5,1.6
26083,56.7,96.0,0.0,2.5
26085,50.3,80.1,8.7,3.0
26087,44.6,91.6,1.2,1.4
26089,55.3,90.4,0.4,4.3
26091,42.2,89.0,2.3,1.7
26093,43.8,94.1,0.5,1.1
26095,44.6,77.6,8.2,11.2
26097,53.3,72.0,4.2,19.6
26099,41.1,76.2,12.5,1.2
26101,50.3,89.3,3.4,3.4
26103,39.2,91.5,1.5,3.2
26105,47.2,92.3,1.1,1.8
26107,40.6,90.9,2.3,2.2
26109,49.9,92.4,0.6,3.9
26111,41.8,90.8,1.4,1.0
26113,42.7,92.5,0.5,1.5
26115,42.6,90.9,2.2,1.3
26117,40.1,89.0,3.2,1.1
26119,56.7,93.9,0.2,3.0
26121,39.9,77.2,12.6,2.0
26123,42.8,89.9,0.7,1.5
26125,41.2,70.6,13.0,1.0
26127,43.9,88.4,0.9,2.0
26129,50.8,94.0,0.6,2.2
26131,59.4,93.5,0.8,2.9
26133,43.8,93.1,1.1,1.9
26135,52.1,94.2,0.4,2.2
26137,44.5,93.7,0.9,1.8
26139,36.3,85.5,1.6,1.2
26141,56.2,95.7,0.3,1.4
26143,57.4,93.7,0.6,1.6
26145,41.1,71.7,18.9,1.2
26147,44.3,91.6,2.3,1.3
26149,39.8,87.2,2.2,1.8
26151,45.3,93.8,0.4,1.1
26153,52.1,84.3,0.6,12.6
26155,43.1,94.8,0.6,1.2
26157,44.6,93.6,1.1,1.5
26159,41.2,81.9,3.5,2.3
26161,34.8,69.9,11.6,1.3
26163,37.8,50.0,37.2,1.5
